Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location
Bán nhanh căn hộ 55m2 2PN 1WC toà CT3 Yên Nghĩa gần ĐH Phenika và BV Nhi Hà Nội full nội thất,"2,75 tỷ",55 m²,50 tr/m²,2,1,"Yên Nghĩa, Hà Đông"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
"Cập nhật quỹ căn bán 2 pn, 3 pn chung cư Seasons Avenue giá tốt nhất, ko đăng ảo, lh: 0971 804 ***",Giá thỏa thuận,80 m²,N/A,2,2,"Mỗ Lao, Hà Đông"
"Tổng hợp các căn 2PN, 3PN đang chuyển nhượng tại chung cư Usilk City tháng 2/2025. Giá tốt nhất","4,06 tỷ",79 m²,"51,39 tr/m²",2,2,"La Khê, Hà Đông"
"Tổng hợp các căn 2 PN, 3PN đang giao dịch tại chung cư The Pride tháng 2/2025. Giá cực tốt","3,75 tỷ",70 m²,"53,57 tr/m²",2,2,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Kiến Hưng, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Quang Trung, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Vạn Phúc, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Mỗ Lao, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
Quỹ căn tốt nhất tại HPC Land Mark 105 Tố Hữu,"6,1 tỷ",107 m²,"57,01 tr/m²",3,2,"La Khê, Hà Đông"
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,"Phủ Lý, Hà Nam"
"Tổng hợp căn hộ HH2 Xuân Mai Yên Nghĩa 49m2, 55m2, 62m2, 65m2, 70m2, 80m2, 145m2, 166m2","2,6 tỷ",49 m²,"53,06 tr/m²",2,2,"Yên Nghĩa, Hà Đông"
"Chính chủ giảm 200tr, bán (3N căn góc- mới 100%-chỉ 4.3tỷ) 112m gần ĐH Phenikaa Tô Hữu Hà Đông","4,3 tỷ",115 m²,"37,39 tr/m²",4,3,"Yên Nghĩa, Hà Đông"
Em cần bán căn góc 3 phòng ngủ 107.6m2 tầng trung toà HPC Landmark Tố Hữu,"6,3 tỷ","107,6 m²","58,55 tr/m²",3,2,"La Khê, Hà Đông"
Bán căn 3PN mẫu C 91m2 hướng Đông tại CC Park Kiara - ParkCity Hà Nội giá tốt nhất LH 0968 450 ***,"8,65 tỷ",91 m²,"95,06 tr/m²",2,2,"La Khê, Hà Đông"
"Bán căn góc 2N, bc TN 82m2 chung cư cao cấp Kepler Land Mỗ Lao, view toàn khu đô thị",Giá thỏa thuận,82 m²,N/A,2,2,"Hà Đông, Hà Nội"
"Chính chủ bán căn hộ 2 ngủ 66m2 view hồ điều hoà. Nhà đã sửa lại thiết kế thoáng mát, rộng rãi hơn","2,6 tỷ",66 m²,"39,39 tr/m²",2,2,"Kiến Hưng, Hà Đông"
Căn hộ 2pn 1wc giá tốt nhăt CT3 Yên Nghĩa,"2,75 tỷ",55 m²,50 tr/m²,2,1,"Yên Nghĩa, Hà Đông"
"Chung cư cao cấp Kepler 2PN, 2WC, 70m2, tại Mỗ Lao, Hà Đông, Hà Nội",Giá thỏa thuận,70 m²,N/A,2,2,"Mỗ Lao, Hà Đông"
"Chính chủ bán chung cư 3 ngủ The Charm An Hưng, Dương Nội",Giá thỏa thuận,"91,5 m²",N/A,3,3,"Dương Nội, Hà Đông"
"Chính chủ bán CC 2PN 58m2 tại Tầng 8, CT3, Bắc Hà Fodacon, 3,1 tỷ, Hà Đông, HN","3,1 tỷ",58 m²,"53,45 tr/m²",2,1,"Mỗ Lao, Hà Đông"
Chính chủ cần bán căn hộ 2 ngủ 1 wc full đồ mới đẹp ở toà Thiên Niên Kỉ đối diện bưu điện Hà Đông,"4,25 tỷ","54,5 m²","77,98 tr/m²",2,1,"Quang Trung, Hà Đông"
Cập nhật quỹ căn hộ 2 - 3 - 4 ngủ chuyển nhượng giá tốt nhất tại HPC Landmark - giá chuẩn ko chênh,"6,8 tỷ",135 m²,"50,37 tr/m²",3,2,"La Khê, Hà Đông"
"Chính chủ cần bán cc The Pride, Tố Hữu 3,5 tỷ, 73m2 2 ngủ 2 vs lh 0368 588 *** mr duy","3,5 tỷ",73 m²,"47,94 tr/m²",2,2,"La Khê, Hà Đông"
"Chính chủ - bán căn 71m2, số 197 Trần Phú, Hà Đông, full nội thất cao cấp, SHR, có thương lượng","4,05 tỷ",71 m²,"57,04 tr/m²",2,2,"Văn Quán, Hà Đông"
Cần bán gấp căn hộ tầng 8 - 135m2 - 3 ngủ full nội thất đẹp tại CT2 Văn Khê giá chỉ 5 tỷ,5 tỷ,135 m²,"37,04 tr/m²",3,2,"La Khê, Hà Đông"
Suất ngoại giao căn góc 2pn vs 3pn tầng 16 - 18 đẹp nhất dự án The Charm An Hưng với giá cắt lỗ,Giá thỏa thuận,72 m²,N/A,2,2,"La Khê, Hà Đông"
Chính chủ bán nhà riêng - 138m2 tại Trần Phú Hà Đông - lô góc - 2 ban công cực thoáng,"6,89 tỷ",138 m²,"49,93 tr/m²",3,2,"Quang Trung, Hà Đông"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
"Chính chủ bán căn góc, tầng trung, diện tích 91,5m2. Toà CT4, KĐT Văn Khê. Miễn trung gian","4,2 tỷ","91,5 m²","45,9 tr/m²",2,2,"La Khê, Hà Đông"
Mở bán dự án The Charm An Hưng - LH Booking: 0918 518 ***,Giá thỏa thuận,74 m²,N/A,2,2,"La Khê, Hà Đông"
"Độc quyền quỹ căn đẹp CC The Charm An Hưng trực tiếp CĐT, chỉ 30% ký HDMB ngay, LS 0% hỗ trợ 12T",Giá thỏa thuận,"72,6 m²",N/A,2,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Kiến Hưng, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Quang Trung, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Vạn Phúc, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Mỗ Lao, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
"Tổng hợp các căn hộ chung cư Văn Khê 3 ngủ, 2 ngủ giá rẻ - 0982 753 ***","3,65 tỷ",74 m²,"49,32 tr/m²",2,2,"La Khê, Hà Đông"
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,"Phủ Lý, Hà Nam"
"Tôi chính chủ bán chung cư đẹp xuất sắc tại The Pride, 73m2 tầng 12. Giá tốt hơn 3 tỷ",Giá thỏa thuận,73 m²,N/A,2,2,"La Khê, Hà Đông"
"Bán CC 4PN, 3WC tại CT2 Yên Nghĩa, 4,8 tỷ, 111,9m2 giá ưu đãi","4,8 tỷ","111,9 m²","42,9 tr/m²",4,3,"Yên Nghĩa, Hà Đông"
Chính chủ cần bán căn 3PN đầy đủ nội thất mới đẹp tại CT1 Văn Khê Hà Đông. Lh 0983 075 ***,"4,6 tỷ","105,62 m²","43,55 tr/m²",3,2,"La Khê, Hà Đông"
"Cần bán căn hộ diện tích 100m2 3 phòng ngủ tại chung cư Nàng Hương số 583 Đường Nguyễn Trãi, HN","5,6 tỷ",100 m²,56 tr/m²,3,2,"Văn Quán, Hà Đông"
"Bán căn góc 2N, bc TN 82m2 chung cư cao cấp Kepler Land Mỗ Lao, view toàn khu đô thị",Giá thỏa thuận,82 m²,N/A,2,2,"Hà Đông, Hà Nội"
"Giảm sâu 200 tr, căn hộ 79m2, chung cư FLC Star Tower Hà Đông","4,31 tỷ",79 m²,"54,6 tr/m²",2,2,"Quang Trung, Hà Đông"
"Quỹ căn 68m2, 78m2, 88m2 chung cư La Casta Văn Phú Hà Đông giá từ 5 tỷ full nội thất, sổ đỏ CC",5 tỷ,68 m²,"73,53 tr/m²",2,2,"Phú La, Hà Đông"
"Chính chủ e bán căn góc 118 m2 tòa V2 tầng 21, 3 phòng ngủ 2 vs chung cư Victoria Văn Phú Hà Đông",Giá thỏa thuận,118 m²,N/A,3,2,"Phú La, Hà Đông"
Chính chủ chuyển đi nơi khác cần bán lại căn hộ CT4 Booyoung giá rẻ,"4,6 tỷ","74,35 m²","61,87 tr/m²",2,2,"Mỗ Lao, Hà Đông"
"Bán căn hộ chung cư Newskyline Văn Quán, view hồ chill chill, nhỉnh 6 tỷ","6,8 tỷ",98 m²,"69,39 tr/m²",3,2,"Văn Quán, Hà Đông"
"Nhanh tay đăng ký chọn căn dự án The Charm An Hưng, mở bán tháng 2/2025","4,32 tỷ",54 m²,80 tr/m²,2,1,"La Khê, Hà Đông"
"Chính chủ tôi cần bán nhanh căn hộ chung cư Mulberry Lane, Mỗ Lao, Hà Đông",Giá thỏa thuận,154 m²,N/A,3,2,"Mỗ Lao, Hà Đông"
"Bán gấp CH 73m2, 2PN, 2WC tại Xuân Mai Tower, Hà Cầu, Hà Đông, giá 4,25 tỷ","4,25 tỷ",73 m²,"58,22 tr/m²",2,2,"Hà Cầu, Hà Đông"
Cập nhật các CH đang giao bán tại Mipec City View - Hà Đông - căn 2PN - 3PN. Liên hệ: 0838 551 ***,"2,9 tỷ",57 m²,"50,88 tr/m²",2,1,"Kiến Hưng, Hà Đông"
Gia đình cần bán căn hộ 90m2 đầy đủ nội thất gần Học Viện An Ninh giá chỉ hơn 4 tỷ,"4,75 tỷ",90 m²,"52,78 tr/m²",2,2,"Văn Quán, Hà Đông"
Cập nhật quỹ căn HPC Landmark chuyển nhượng giá tốt nhất,"6,9 tỷ",143 m²,"48,25 tr/m²",4,3,"La Khê, Hà Đông"
"Grand Sunlake Văn Quán - 91,7 m2 view Hồ Văn Quán. Sổ đỏ lâu dài - giá tốt",Giá thỏa thuận,"91,7 m²",N/A,2,2,"Văn Quán, Hà Đông"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
Cần bán gấp căn hộ 2 ngủ 2 vệ sinh tầng trung chỉ hơn 3 tỷ,"3,1 tỷ",62 m²,50 tr/m²,2,2,"Yên Nghĩa, Hà Đông"
Tổng hợp các căn hộ cần bán chung cư HH2 Xuân Mai Dương Nội - LH 0982 753 ***,"2,85 tỷ",51 m²,"55,88 tr/m²",2,2,"Yên Nghĩa, Hà Đông"
"Bán căn hộ tầng trung, khu ĐT Văn Khê, giá thoả thuận. Miễn tiếp TG",4 tỷ,114 m²,"35,09 tr/m²",3,2,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Kiến Hưng, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Quang Trung, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Vạn Phúc, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Mỗ Lao, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
Chính chủ Bán căn chung cư CT8 Dương Nội Hà Đông,39 tỷ,86 m²,"453,49 tr/m²",2,2,"Dương Nội, Hà Đông"
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,"Phủ Lý, Hà Nam"
Nhận booking sớm căn 2PN dự án The Charm An Hưng (số lượng giới hạn) LH 0918 518 ***,Giá thỏa thuận,74 m²,N/A,2,2,"La Khê, Hà Đông"
"Chính chủ cần bán CH Goldsilk Complex Hà Đông, DT 122m2 gồm 4 ngủ 3VS Full nội thất mới, Giá 7tỷ",7 tỷ,122 m²,"57,38 tr/m²",4,3,"Vạn Phúc, Hà Đông"
"Chính chủ bán chung cư Bình Vượng, diện tích 91,9m2 3 ngủ 2 vệ sinh, giá 4,4 tỷ có thương lượng","4,4 tỷ","91,9 m²","47,88 tr/m²",3,2,"Quang Trung, Hà Đông"
"Chính chủ trên sổ bán chung cư FLC, diện tích 113,3m2 4 ngủ 2 vệ sinh, giá 5.85 tỷ có thương lượng","5,85 tỷ","113,3 m²","51,63 tr/m²",4,2,"Quang Trung, Hà Đông"
"Bán căn góc 2N, bc TN 82m2 chung cư cao cấp Kepler Land Mỗ Lao, view toàn khu đô thị",Giá thỏa thuận,82 m²,N/A,2,2,"Hà Đông, Hà Nội"
"Mở bán chung cư đẹp nhất Hà Đông bàn giao full đồ cao cấp giá 69-78 tr/m2, diện tích từ 45-130m2","4,9 tỷ",70 m²,70 tr/m²,2,2,"Mỗ Lao, Hà Đông"
MỞ BÁN DỰ ÁN HOT NHẤT HÀ ĐÔNG THÁP ĐÔI KEPLER MỖ LAO,"6,48 tỷ",81 m²,80 tr/m²,3,N/A,"Mỗ Lao, Hà Đông"
"Bán căn 2 PN hơn 60m2 tòa CT1 Yên Nghĩa, Hà Đông rẻ nhất chỉ 2. X tỷ. Lh: 0985 080 ***",Giá thỏa thuận,62 m²,N/A,2,2,"Yên Nghĩa, Hà Đông"
"Bán căn hộ 101m2 ban công ĐN (3PN, 2VS) CT4 Yên Nghĩa, 48,5tr/m2, 101m2, Hà Đông. Lh: 0985 080 ***","4,9 tỷ",101 m²,"48,5 tr/m²",3,2,"Yên Nghĩa, Hà Đông"
"Bán CC The Sparks, 3,05 tỷ, dttt 55m2, 2PN, 2WC tại Dương Nội, Hà Đông, Hà Nội - Hot","3,05 tỷ",52 m²,"58,65 tr/m²",2,2,"Dương Nội, Hà Đông"
"Cần bán nhanh căn 95m2 (3Pn, 2Vs) - The Pride - Full đồ giá chỉ 4,55 tỷ","4,55 tỷ",95 m²,"47,9 tr/m²",3,2,"La Khê, Hà Đông"
"Bán căn hộ chung cư GoldSilk Complex 6,222 tỷ 122 m2 4PN 3VS hàng hiếm tại giá tốt LH 0336 730 ***","6,22 tỷ",122 m²,51 tr/m²,4,3,"Vạn Phúc, Hà Đông"
Chính chủ bán căn hộ tại KĐT Xala Hà Đông - 100m2 3 ngủ 2WC căn góc thoáng,"4,6 tỷ",100 m²,46 tr/m²,3,2,"Phúc La, Hà Đông"
"Hàng hiếm! Chính chủ bán căn 80m, hướng ĐN tại CT4 Yên Nghĩa - giá bán 3,5 tỷ, full nội thất","3,5 tỷ",80 m²,"43,75 tr/m²",2,2,"Yên Nghĩa, Hà Đông"
"Tuyệt phẩm: Cần tiền bán gấp Goldsilk Complex 78m2 2PN 2VS. Full đồ, hướng mát giá chỉ 4,x tỷ BTP","4,4 tỷ",78 m²,"56,41 tr/m²",2,2,"Vạn Phúc, Hà Đông"
"Cực phẩm: Cần tiền bán nhanh Goldsilk Complex 128m2 4PN 3VS full NT hướng mát giá 6,xtỷ: 0968 693 ***","6,05 tỷ",128 m²,"47,27 tr/m²",3,2,"Vạn Phúc, Hà Đông"
"Siêu phẩm: Cần tiền bán nhanh Samsora Premier 85m2 3PN 2VS. Full đẹp, hướng mát, 4,x tỷ: 0968 693 ***","4,5 tỷ",85 m²,"52,94 tr/m²",3,2,"Quang Trung, Hà Đông"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
Bán nhanh căn hộ 90m2 3PN 2WC chung cư CT4 Yên Nghĩa đẹp nhất khu. Nhận nhà mới toanh luôn,"4,05 tỷ",90 m²,45 tr/m²,3,2,"Yên Nghĩa, Hà Đông"
Chính chủ gửi bán căn 1110 trung tâm thương mại Đức Thành. LH 0966 786 ***,"2,75 tỷ",58 m²,"47,41 tr/m²",2,1,"Phúc La, Hà Đông"
"Bán căn 3PN 80m2 toà Xuân Mai Complex Dương Nội, Hà Đông. LH 0982 511 ***",Giá thỏa thuận,80 m²,N/A,3,2,"Yên Nghĩa, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Kiến Hưng, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Quang Trung, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Vạn Phúc, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Mỗ Lao, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
Chính chủ bán CH 80m2 3PN 2VS Full NT - Tầng đẹp - BC Đông Nam . Giá bán 4 Tỷ - LH : 0838 551 ***,4 tỷ,80 m²,50 tr/m²,3,2,"Kiến Hưng, Hà Đông"
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,"Phủ Lý, Hà Nam"
BÁN CĂN GÓC 68.9m2 2PN - 2WC - 2BC CĂN GÓC VUÔNG VẮN CC MIPEC KIẾN HƯNG HÀ ĐÔNG - LH : 0838 551 ***,"3,6 tỷ","68,9 m²","52,25 tr/m²",2,2,"Kiến Hưng, Hà Đông"
"BÁN CĂN 62.6m2 2PN - 2WC - 2 BC , THIẾT KẾ HOA HẬU CHUNG CƯ MIPEC KIẾN HƯNG HĐ . LH : 0838 551 ***",Giá thỏa thuận,"62,6 m²",N/A,2,2,"Kiến Hưng, Hà Đông"
Mipec City View - Bán CH 51m2 2PN - 1WC Tầng trung - View Liền Kề . Giá bán tốt 2.7xx Tỷ có gia lộc,Giá thỏa thuận,51 m²,N/A,2,2,"Kiến Hưng, Hà Đông"
Chính chủ cần bán căn 3PN - 2VS - 107m2 tòa Booyoung. Sổ đỏ lâu dài,Giá thỏa thuận,107 m²,N/A,3,2,"Mỗ Lao, Hà Đông"
"Giỏ hàng độc quyền Sun Symphony, view sông Hàn, chỉ từ 47tr/m2, giá tốt nhất thị trường, CK cao","2,9 tỷ",40 m²,"72,5 tr/m²",2,1,"Sơn Trà, Đà Nẵng"
"Chính chủ cần bán gấp căn 2PN - 2VS - 74m2 tòa CT7 Booyoung Mỗ Lao, Hà Đông",Giá thỏa thuận,74 m²,N/A,2,2,"Mỗ Lao, Hà Đông"
Bán gấp 2PN CC The Terra An Hưng Giá tốt nhất thị trường,"4,3 tỷ",74 m²,"58,11 tr/m²",2,2,"La Khê, Hà Đông"
"Bán CC The Pride, Tố Hữu, La Khê, Hà Đông, Hà Nội, 5 tỷ, 146m2, 3PN, 3WC",5 tỷ,146 m²,"34,25 tr/m²",3,3,"La Khê, Hà Đông"
"Bán căn hộ chung cư cao cấp Trần Phú, Hà Đông, 135m2, 3N, 2WC, lô góc tặng full nội thất",7 tỷ,135 m²,"51,84 tr/m²",3,2,"Văn Quán, Hà Đông"
"Bán căn 2PN 62m2, 65m2, 70m2 nhà đẹp tòa Xuân Mai Complex. LH 0982 511 ***","3,05 tỷ",70 m²,"43,57 tr/m²",2,2,"Yên Nghĩa, Hà Đông"
"Bán nhanh căn hộ KĐT Văn Khê, Hà Đông, 112m2, 3 ngủ, giá tốt","4,45 tỷ",112 m²,"39,73 tr/m²",3,2,"La Khê, Hà Đông"
"Bán chung cư Ellipse Tower, Trần Phú, Hà Đông 80m2, 2 ngủ, 2 vệ sinh, giá rẻ",Giá thỏa thuận,80 m²,N/A,2,2,"Mỗ Lao, Hà Đông"
"Đẳng cấp sống với CH 100m2 thiết kế 3PN 2WC Tháp Thiên Niên Kỷ, nhà full nội thất, giá chỉ 7,1 tỷ","7,1 tỷ",100 m²,71 tr/m²,3,2,"Quang Trung, Hà Đông"
Cần tiền bán gấp nhà CCMN Mỗ Lao 80m2 7 tầng 17 phòng ngõ thông giá cực rẻ chỉ hơn 13 tỷ 0988 291 ***,"13,5 tỷ",80 m²,"168,75 tr/m²",17,17,"Mỗ Lao, Hà Đông"
"Chính chủ bán căn 98m2, tầng đẹp, full nội thất. LH 0963 225 ***",Giá thỏa thuận,98 m²,N/A,3,2,"Dương Nội, Hà Đông"
"Tôi bán nhanh chung cư Bình Vượng 200 Quang Trung 146m2, 3 ngủ, 2 VS, giá tốt",Giá thỏa thuận,146 m²,N/A,3,2,"Quang Trung, Hà Đông"
"Bán nhanh chung cư Mipec Kiến Hưng, Hà Đông, 57m2, 2 ngủ, giá tốt","3,05 tỷ",57 m²,"53,51 tr/m²",2,1,"Kiến Hưng, Hà Đông"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
"Bán căn góc chung cư FLC Star Tower, Hà Đông 100m2, 3 ngủ, 2 vs, nội thất và giá đẹp","4,5 tỷ",100 m²,45 tr/m²,3,2,"Quang Trung, Hà Đông"
"Bán nhanh căn hộ khu đô thị Văn Khê, 91m2, 3 ngủ 2 vệ sinh, giá tốt","4,15 tỷ",91 m²,"45,6 tr/m²",3,2,"La Khê, Hà Đông"
"Bán nhanh căn hộ khu đô thị Văn Khê, 76m2, 2 ngủ, 2 vệ sinh, giá tốt",Giá thỏa thuận,76 m²,N/A,2,2,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
